timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662119391451,496,GET All Authors,200,OK,Stress Testing 1-2,text,true,,31723,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,480,0,452
1662119391449,510,GET All Authors,200,OK,Stress Testing 1-1,text,true,,31723,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,482,0,450
1662119391960,7,POST Authors,200,OK,Stress Testing 1-1,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,7,0,0
1662119391956,13,POST Authors,200,OK,Stress Testing 1-2,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,13,0,0
1662119391967,6,GET Author,200,OK,Stress Testing 1-1,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=2,6,0,0
1662119391969,5,GET Author,200,OK,Stress Testing 1-2,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=1,5,0,0
1662119391974,5,DELETE Author,200,OK,Stress Testing 1-2,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=1,5,0,0
1662119391973,7,DELETE Author,200,OK,Stress Testing 1-1,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=2,7,0,0
1662119391979,25,GET All Authors,200,OK,Stress Testing 1-2,text,true,,47615,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,10,0,0
1662119391981,24,GET All Authors,200,OK,Stress Testing 1-1,text,true,,47615,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,6,0,0
1662119392007,4,POST Authors,200,OK,Stress Testing 1-1,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,4,0,0
1662119392006,7,POST Authors,200,OK,Stress Testing 1-2,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,7,0,0
1662119392011,5,GET Author,200,OK,Stress Testing 1-1,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=4,5,0,0
1662119392013,7,GET Author,200,OK,Stress Testing 1-2,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=3,6,0,0
1662119392017,4,DELETE Author,200,OK,Stress Testing 1-1,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=4,4,0,0
1662119392020,4,DELETE Author,200,OK,Stress Testing 1-2,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=3,4,0,0
1662119392021,24,GET All Authors,200,OK,Stress Testing 1-1,text,true,,47615,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,7,0,0
1662119392025,19,GET All Authors,200,OK,Stress Testing 1-2,text,true,,47615,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,9,0,0
1662119392046,6,POST Authors,200,OK,Stress Testing 1-1,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,6,0,0
1662119392048,5,POST Authors,200,OK,Stress Testing 1-2,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,5,0,0
1662119392052,5,GET Author,200,OK,Stress Testing 1-1,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=5,5,0,0
1662119392057,5,DELETE Author,200,OK,Stress Testing 1-1,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=5,5,0,0
1662119392053,10,GET Author,200,OK,Stress Testing 1-2,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=6,10,0,0
1662119392063,8,DELETE Author,200,OK,Stress Testing 1-2,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=6,8,0,0
1662119392062,14,GET All Authors,200,OK,Stress Testing 1-1,text,true,,31723,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,7,0,0
1662119392076,7,POST Authors,200,OK,Stress Testing 1-1,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,7,0,0
1662119392083,10,GET Author,200,OK,Stress Testing 1-1,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=7,10,0,0
1662119392093,6,DELETE Author,200,OK,Stress Testing 1-1,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=7,6,0,0
1662119392072,32,GET All Authors,200,OK,Stress Testing 1-2,text,true,,63507,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,8,0,0
1662119392100,9,GET All Authors,200,OK,Stress Testing 1-1,text,true,,31723,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,6,0,0
1662119392104,7,POST Authors,200,OK,Stress Testing 1-2,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,7,0,0
1662119392110,4,POST Authors,200,OK,Stress Testing 1-1,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,4,0,0
1662119392114,6,GET Author,200,OK,Stress Testing 1-2,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=8,6,0,0
1662119392115,7,GET Author,200,OK,Stress Testing 1-1,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=9,7,0,0
1662119392120,6,DELETE Author,200,OK,Stress Testing 1-2,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=8,6,0,0
1662119392122,8,DELETE Author,200,OK,Stress Testing 1-1,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=9,8,0,0
1662119392127,21,GET All Authors,200,OK,Stress Testing 1-2,text,true,,47615,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,7,0,0
1662119392132,21,GET All Authors,200,OK,Stress Testing 1-1,text,true,,63507,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,12,0,0
1662119392150,7,POST Authors,200,OK,Stress Testing 1-2,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,7,0,0
1662119392157,6,GET Author,200,OK,Stress Testing 1-2,text,true,,333,183,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=10,6,0,0
1662119392154,15,POST Authors,200,OK,Stress Testing 1-1,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,15,0,0
1662119392163,8,DELETE Author,200,OK,Stress Testing 1-2,,true,,211,274,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=10,8,0,0
1662119392172,10,GET All Authors,200,OK,Stress Testing 1-2,text,true,,31723,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,8,0,0
1662119392170,13,GET Author,200,OK,Stress Testing 1-1,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=1,13,0,0
1662119392183,5,DELETE Author,200,OK,Stress Testing 1-1,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=1,5,0,0
1662119392183,6,POST Authors,200,OK,Stress Testing 1-2,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,6,0,0
